,,Time,Density
2068,0.216847,137.8,0.216847
2071,0.207857,138,0.207857
2074,0.200709,138.2,0.200709
2077,0.185637,138.4,0.185637
2080,0.176296,138.6,0.176296
2083,0.157278,138.8,0.157278
2086,0.139716,139,0.139716
2089,0.135104,139.2,0.135104
2092,0.134488,139.4,0.134488
2095,0.135537,139.6,0.135537
2098,0.140984,139.8,0.140984
2101,0.152936,140,0.152936
2104,0.17374,140.2,0.17374
2107,0.195797,140.4,0.195797
2110,0.227507,140.6,0.227507
2113,0.265815,140.8,0.265815
2116,0.320792,141,0.320792
2119,0.393303,141.2,0.393303
2122,0.439828,141.4,0.439828
2125,0.516737,141.6,0.516737
2128,0.600622,141.8,0.600622
2131,0.649668,142,0.649668
2134,0.678401,142.2,0.678401
2137,0.721309,142.4,0.721309
2140,0.727045,142.6,0.727045
2143,0.724762,142.8,0.724762
2146,0.718664,143,0.718664
2149,0.71443,143.2,0.71443
2152,0.669934,143.4,0.669934
2155,0.581277,143.6,0.581277
2158,0.471804,143.8,0.471804
2161,0.431229,144,0.431229
2164,0.445345,144.2,0.445345
2167,0.440889,144.4,0.440889
2170,0.436828,144.6,0.436828
2173,0.427311,144.8,0.427311
2176,0.382784,145,0.382784
2179,0.333972,145.2,0.333972
2182,0.27651,145.4,0.27651
2185,0.257477,145.6,0.257477
2188,0.232614,145.8,0.232614
2191,0.215673,146,0.215673
2194,0.194915,146.2,0.194915
2197,0.180404,146.4,0.180404
2200,0.167942,146.6,0.167942
2203,0.156147,146.8,0.156147
2206,0.147953,147,0.147953
2209,0.146404,147.2,0.146404
2212,0.139646,147.4,0.139646
2215,0.134195,147.6,0.134195
2218,0.129482,147.8,0.129482
2221,0.127394,148,0.127394
2224,0.127921,148.2,0.127921
2227,0.129068,148.4,0.129068
2230,0.12954,148.6,0.12954
2233,0.129501,148.8,0.129501
2236,0.129474,149,0.129474
2239,0.131042,149.2,0.131042
2242,0.131846,149.4,0.131846
2245,0.131885,149.6,0.131885
2248,0.130769,149.8,0.130769
2251,0.130797,150,0.130797
2254,0.131913,150.2,0.131913
2257,0.131265,150.4,0.131265
2260,0.132119,150.6,0.132119
2263,0.134394,150.8,0.134394
2266,0.134757,151,0.134757
2269,0.152011,151.2,0.152011
2272,0.168422,151.4,0.168422
2275,0.188458,151.6,0.188458
2278,0.202301,151.8,0.202301
2281,0.209918,152,0.209918
2284,0.209894,152.2,0.209894
2287,0.202621,152.4,0.202621
2290,0.20385,152.6,0.20385
2293,0.200764,152.8,0.200764
2296,0.190978,153,0.190978
2299,0.186159,153.2,0.186159
2302,0.202551,153.4,0.202551
2305,0.206351,153.6,0.206351
2308,0.206734,153.8,0.206734
2311,0.214892,154,0.214892
2314,0.214803,154.2,0.214803
2317,0.203538,154.4,0.203538
2320,0.19426,154.6,0.19426
2323,0.187962,154.8,0.187962
2326,0.183026,155,0.183026
2329,0.176581,155.2,0.176581
2332,0.169425,155.4,0.169425
2335,0.159428,155.6,0.159428
2338,0.149896,155.8,0.149896
2341,0.143321,156,0.143321
2344,0.138838,156.2,0.138838
2347,0.138089,156.4,0.138089
2350,0.143634,156.6,0.143634
2353,0.151859,156.8,0.151859
2356,0.148378,157,0.148378
2359,0.143559,157.2,0.143559
2362,0.136251,157.4,0.136251
2365,0.135202,157.6,0.135202
2368,0.134324,157.8,0.134324
2371,0.131148,158,0.131148
2374,0.130828,158.2,0.130828
2377,0.131249,158.4,0.131249
2380,0.128229,158.6,0.128229
2383,0.128935,158.8,0.128935
2386,0.148963,159,0.148963
2389,0.176748,159.2,0.176748
2392,0.212064,159.4,0.212064
2395,0.254492,159.6,0.254492
2398,0.268113,159.8,0.268113
2401,0.260797,160,0.260797
2404,0.232224,160.2,0.232224
2407,0.229048,160.4,0.229048
2410,0.218736,160.6,0.218736
2413,0.21142,160.8,0.21142
2416,0.194587,161,0.194587
2419,0.187435,161.2,0.187435
2422,0.176604,161.4,0.176604
2425,0.159331,161.6,0.159331
2428,0.147473,161.8,0.147473
2431,0.137281,162,0.137281
2434,0.140856,162.2,0.140856
2437,0.153513,162.4,0.153513
2440,0.157095,162.6,0.157095
2443,0.154137,162.8,0.154137
2446,0.155526,163,0.155526
2449,0.15457,163.2,0.15457
2452,0.144824,163.4,0.144824
2455,0.132591,163.6,0.132591
2458,0.144831,163.8,0.144831
2461,0.158562,164,0.158562
2464,0.161761,164.2,0.161761
2467,0.154438,164.4,0.154438
2470,0.15045,164.6,0.15045
2473,0.139607,164.8,0.139607
2476,0.135615,165,0.135615
2479,0.147773,165.2,0.147773
2482,0.148788,165.4,0.148788
2485,0.136696,165.6,0.136696
2488,0.131405,165.8,0.131405
2491,0.133419,166,0.133419
2494,0.135912,166.2,0.135912
2497,0.134605,166.4,0.134605
2500,0.135104,166.6,0.135104
2503,0.137652,166.8,0.137652
2506,0.137133,167,0.137133
2509,0.14434,167.2,0.14434
2512,0.160447,167.4,0.160447
2515,0.178231,167.6,0.178231
2518,0.179772,167.8,0.179772
2521,0.186222,168,0.186222
2524,0.203421,168.2,0.203421
2527,0.200226,168.4,0.200226
2530,0.196378,168.6,0.196378
2533,0.193651,168.8,0.193651
2536,0.189577,169,0.189577
2539,0.18136,169.2,0.18136
2542,0.174052,169.4,0.174052
2545,0.173034,169.6,0.173034
2548,0.173061,169.8,0.173061
2551,0.184318,170,0.184318
2554,0.186284,170.2,0.186284
2557,0.185504,170.4,0.185504
2560,0.173685,170.6,0.173685
2563,0.155714,170.8,0.155714
2566,0.142557,171,0.142557
2569,0.132045,171.2,0.132045
2572,0.12233,171.4,0.12233
2575,0.11867,171.6,0.11867
2578,0.117179,171.8,0.117179
