density,time
0.708843,87.167
0.708995,87.234
0.709373,87.301
0.710017,87.368
0.71031,87.435
0.710794,87.502
0.710716,87.569
0.710805,87.636
0.711512,87.703
0.712288,87.77
0.712354,87.837
0.713349,87.904
0.713802,87.971
0.713876,88.038
0.714176,88.105
0.713974,88.172
0.714091,88.239
0.714196,88.306
0.714036,88.373
0.713658,88.44
0.71315,88.507
0.713408,88.574
0.712951,88.641
0.712046,88.708
0.710907,88.775
0.709662,88.842
0.709631,88.909
0.709549,88.976
0.709732,89.043
0.709311,89.11
0.71031,89.177
0.712272,89.244
0.712924,89.311
0.713899,89.378
0.71418,89.445
0.713697,89.512
0.713962,89.579
0.71434,89.646
0.714629,89.713
0.716447,89.78
0.715558,89.847
0.715023,89.914
0.713864,89.981
0.71411,90.048
0.713853,90.115
0.713513,90.182
0.713377,90.249
0.714297,90.316
0.714914,90.383
0.714418,90.45
0.71402,90.517
0.713876,90.584
0.713802,90.651
0.714855,90.718
0.715413,90.785
0.716654,90.852
0.718863,90.919
0.720357,90.986
0.723888,91.053
0.726662,91.12
0.727536,91.187
0.730962,91.254
0.730826,91.321
0.733888,91.388
0.734193,91.455
0.736109,91.522
0.73541,91.589
0.738243,91.656
0.736631,91.723
0.735039,91.79
0.734201,91.857
0.734509,91.924
0.735055,91.991
0.735196,92.058
0.737334,92.125
0.741259,92.192
0.741442,92.259
0.743389,92.326
0.744759,92.393
0.746897,92.46
0.749148,92.527
0.747108,92.594
0.746066,92.661
0.742714,92.728
0.742133,92.795
0.740244,92.862
0.737236,92.929
0.737349,92.996
0.739054,93.063
0.740393,93.13
0.741236,93.197
0.742234,93.264
0.743744,93.331
0.743245,93.398
0.742191,93.465
0.740681,93.532
0.740038,93.599
0.742761,93.666
0.741458,93.733
0.743581,93.8
0.742812,93.867
0.742777,93.934
0.740518,94.001
0.740721,94.068
0.741622,94.135
0.741099,94.202
0.741555,94.269
0.741813,94.336
0.746483,94.403
0.74534,94.47
0.744213,94.537
0.744197,94.604
0.746117,94.671
0.745352,94.738
0.74671,94.805
0.746889,94.872
0.751556,94.939
0.754642,95.006
0.755142,95.073
0.757647,95.14
0.758727,95.207
0.760643,95.274
0.762766,95.341
0.761283,95.408
0.761868,95.475
0.762364,95.542
0.759917,95.609
0.758423,95.676
0.759114,95.743
0.758747,95.81
0.757744,95.877
0.758926,95.944
0.760319,96.011
0.762902,96.078
0.762699,96.145
0.764206,96.212
0.761178,96.279
0.761872,96.346
0.762411,96.413
0.760596,96.48
0.759777,96.547
0.757955,96.614
0.755723,96.681
0.756663,96.748
0.75474,96.815
0.754533,96.882
0.757186,96.949
0.76021,97.016
0.76293,97.083
0.764596,97.15
0.764479,97.217
0.765637,97.284
0.770175,97.351
0.769286,97.418
0.766671,97.485
0.766234,97.552
0.767756,97.619
0.771927,97.686
0.77501,97.753
0.780976,97.82
0.786832,97.887
0.787039,97.954
0.786856,98.021
0.785997,98.088
0.789146,98.155
0.787257,98.222
0.784526,98.289
0.784893,98.356
0.782013,98.423
0.777838,98.49
0.775255,98.557
0.771034,98.624
0.762395,98.691
0.760218,98.758
0.754057,98.825
0.748072,98.892
0.745574,98.959
0.740174,99.026
0.74147,99.093
0.743097,99.16
0.744111,99.227
0.743081,99.294
0.745711,99.361
0.748345,99.428
0.747794,99.495
0.746889,99.562
0.741598,99.629
0.739964,99.696
0.73861,99.763
0.737158,99.83
0.734439,99.897
0.729027,99.964
0.726643,100.031
0.72756,100.098
0.729651,100.165
0.730548,100.232
0.73392,100.299
0.73026,100.366
0.729128,100.433
0.723716,100.5
0.725242,100.567
0.726573,100.634
0.725968,100.701
0.727248,100.768
0.721656,100.835
0.709147,100.902
0.708932,100.969
0.708413,101.036
0.713677,101.103
0.71491,101.17
0.712499,101.237
0.71068,101.304
0.708811,101.371
0.708566,101.438
0.706576,101.505
0.70276,101.572
0.703415,101.639
0.703341,101.706
0.700489,101.773
0.696369,101.84
0.692506,101.907
0.693817,101.974
0.692006,102.041
0.691363,102.108
0.687816,102.175
0.685295,102.242
0.68336,102.309
0.68249,102.376
0.68011,102.443
0.684823,102.51
0.691921,102.577
0.69695,102.644
0.706974,102.711
0.707898,102.778
0.712479,102.845
0.716092,102.912
0.716307,102.979
0.717013,103.046
0.717372,103.113
0.718168,103.18
0.717821,103.247
0.718753,103.314
0.718461,103.381
0.714641,103.448
0.714098,103.515
0.711445,103.582
0.714965,103.649
0.714352,103.716
0.713478,103.783
0.718656,103.85
0.718999,103.917
0.711242,103.984
